18.0,130.0,1970,chevrolet chevelle malibu
15.0,165.0,1970,buick skylark 320
18.0,150.0,1970,plymouth satellite
16.0,150.0,1970,amc rebel sst
17.0,140.0,1970,ford torino
15.0,198.0,1970,ford galaxie 500
14.0,220.0,1970,chevrolet impala
14.0,215.0,1970,plymouth fury iii
14.0,225.0,1970,pontiac catalina
15.0,190.0,1970,amc ambassador dpl
15.0,170.0,1970,dodge challenger se
14.0,160.0,1970,plymouth 'cuda 340
15.0,150.0,1970,chevrolet monte carlo
14.0,225.0,1970,buick estate wagon (sw)
24.0,95.0,1970,toyota corona mark ii
22.0,95.0,1970,plymouth duster
18.0,97.0,1970,amc hornet
21.0,85.0,1970,ford maverick
27.0,88.0,1970,datsun pl510
26.0,46.0,1970,volkswagen 1131 deluxe sedan
25.0,87.0,1970,peugeot 504
24.0,90.0,1970,audi 100 ls
25.0,95.0,1970,saab 99e
26.0,113.0,1970,bmw 2002
21.0,90.0,1970,amc gremlin
10.0,215.0,1970,ford f250
10.0,200.0,1970,chevy c20
11.0,210.0,1970,dodge d200
9.0,193.0,1970,hi 1200d
27.0,88.0,1971,datsun pl510
28.0,90.0,1971,chevrolet vega 2300
25.0,95.0,1971,toyota corona
19.0,100.0,1971,amc gremlin
16.0,105.0,1971,plymouth satellite custom
17.0,100.0,1971,chevrolet chevelle malibu
19.0,88.0,1971,ford torino 500
18.0,100.0,1971,amc matador
14.0,165.0,1971,chevrolet impala
14.0,175.0,1971,pontiac catalina brougham
14.0,153.0,1971,ford galaxie 500
14.0,150.0,1971,plymouth fury iii
12.0,180.0,1971,dodge monaco (sw)
13.0,170.0,1971,ford country squire (sw)
13.0,175.0,1971,pontiac safari (sw)
18.0,110.0,1971,amc hornet sportabout (sw)
22.0,72.0,1971,chevrolet vega (sw)
19.0,100.0,1971,pontiac firebird
18.0,88.0,1971,ford mustang
23.0,86.0,1971,mercury capri 2000
28.0,90.0,1971,opel 1900
30.0,70.0,1971,peugeot 304
30.0,76.0,1971,fiat 124b
31.0,65.0,1971,toyota corolla 1200
35.0,69.0,1971,datsun 1200
27.0,60.0,1971,volkswagen model 111
26.0,70.0,1971,plymouth cricket
24.0,95.0,1972,toyota corona hardtop
25.0,80.0,1972,dodge colt hardtop
23.0,54.0,1972,volkswagen type 3
20.0,90.0,1972,chevrolet vega
21.0,86.0,1972,ford pinto runabout
13.0,165.0,1972,chevrolet impala
14.0,175.0,1972,pontiac catalina
15.0,150.0,1972,plymouth fury iii
14.0,153.0,1972,ford galaxie 500
17.0,150.0,1972,amc ambassador sst
11.0,208.0,1972,mercury marquis
13.0,155.0,1972,buick lesabre custom
12.0,160.0,1972,oldsmobile delta 88 royale
13.0,190.0,1972,chrysler newport royal
19.0,97.0,1972,mazda rx2 coupe
15.0,150.0,1972,amc matador (sw)
13.0,130.0,1972,chevrolet chevelle concours (sw)
13.0,140.0,1972,ford gran torino (sw)
14.0,150.0,1972,plymouth satellite custom (sw)
18.0,112.0,1972,volvo 145e (sw)
22.0,76.0,1972,volkswagen 411 (sw)
21.0,87.0,1972,peugeot 504 (sw)
26.0,69.0,1972,renault 12 (sw)
22.0,86.0,1972,ford pinto (sw)
28.0,92.0,1972,datsun 510 (sw)
